sample_index,seed,scenario,request_id,response_status,response_error_code,task_count,order_count,zone_count,validation_warning_count,invalid_task_count,computation_time,n_solutions_returned
1,42,urgent,req_demo_ATL1_42_1775047320,completed,,150,15,2,0,0,41.87783762498293,4
2,43,urgent,req_demo_ATL1_43_1775047380,completed,,150,15,2,0,0,42.14848941692617,4
3,44,urgent,req_demo_ATL1_44_1775047440,completed,,150,15,2,0,0,42.002112458925694,4
4,45,urgent,req_demo_ATL1_45_1775047500,completed,,150,15,2,0,0,41.66898154094815,4
5,46,urgent,req_demo_ATL1_46_1775047560,completed,,150,15,2,0,0,41.871054625022225,4
6,47,urgent,req_demo_ATL1_47_1775047620,completed,,150,15,2,0,0,41.836330957943574,4
7,48,urgent,req_demo_ATL1_48_1775047680,completed,,150,15,2,0,0,42.24473833304364,4
8,49,urgent,req_demo_ATL1_49_1775047740,completed,,150,15,2,0,0,41.909399042022415,4
9,50,urgent,req_demo_ATL1_50_1775047800,completed,,150,15,2,0,0,42.62339012499433,4
10,51,urgent,req_demo_ATL1_51_1775047860,completed,,150,15,2,0,0,41.856505290954374,4
11,52,urgent,req_demo_ATL1_52_1775047920,completed,,150,15,2,0,0,42.03357158310246,4
12,53,urgent,req_demo_ATL1_53_1775047980,completed,,150,15,2,0,0,41.81199099996593,4
13,54,urgent,req_demo_ATL1_54_1775048040,completed,,150,15,2,0,0,41.94627054105513,4
14,55,urgent,req_demo_ATL1_55_1775048100,completed,,150,15,2,0,0,41.95918275008444,4
15,56,urgent,req_demo_ATL1_56_1775048160,completed,,150,15,2,0,0,41.79435724997893,4
16,57,urgent,req_demo_ATL1_57_1775048220,completed,,150,15,2,0,0,41.90907374990638,4
17,58,urgent,req_demo_ATL1_58_1775048280,completed,,150,15,2,0,0,41.94459999992978,4
18,59,urgent,req_demo_ATL1_59_1775048340,completed,,150,15,2,0,0,41.8109814170748,4
19,60,urgent,req_demo_ATL1_60_1775048400,completed,,150,15,2,0,0,42.07260608300567,4
20,61,urgent,req_demo_ATL1_61_1775048460,completed,,150,15,2,0,0,42.20184241689276,4
